Nr.,Vaiko gimimo metai,Prašymo pateikimo data,Vaiko priėmimo į grupę data,Deklaruotas mieste,Atitinka priskirta teritorija,Vaiko seniunija,Deklaruota gyvenamoji vieta
15702,2010,2012-12-14,2013-09-01,Taip,Taip,Naujosios Vilnios,Vilnius
15703,2010,2012-07-10,2012-09-01,Taip,Taip,Rasų,Vilnius
15704,2011,2012-10-09,2014-08-22,Taip,Ne,,
15705,2012,2014-02-18,2014-05-30,Ne,Taip,,
15706,2009,2014-05-15,2014-06-02,Taip,Taip,Naujininkų,Vilnius
15707,2011,2013-07-02,2013-07-02,Taip,Taip,Naujosios Vilnios,Vilnius
15708,2010,2011-10-23,2013-06-27,Taip,Taip,Panerių,Vilnius
15709,2010,2013-04-03,2013-06-27,Ne,Ne,,
15710,2012,2014-01-10,2014-05-29,Taip,Taip,Panerių,Vilnius
15711,2013,2014-01-10,2014-05-29,Taip,Taip,Naujosios Vilnios,Vilnius
15712,2010,2014-07-21,2014-07-31,Taip,Taip,Šnipiškių,Vilnius
15713,2012,2014-09-09,2014-09-09,Taip,Taip,Rasų,Vilnius
15714,2012,2014-03-10,2014-05-30,Taip,Taip,Naujininkų,Vilnius
15715,2011,2013-01-08,2013-07-01,Taip,Taip,Rasų,Vilnius
15716,2012,2013-05-31,2013-07-24,Ne,Taip,Rasų,
15717,2011,2014-01-10,2014-08-22,Taip,Taip,Senamiesčio,Vilnius
15718,2012,2014-08-21,2014-08-21,Taip,Taip,Fabijoniškių,Vilnius
15719,2012,2014-01-10,2014-05-31,Taip,Taip,Naujosios Vilnios,Vilnius
15720,2012,2014-01-10,2014-05-31,Taip,Taip,Naujosios Vilnios,Vilnius
15721,2013,2014-10-31,2014-10-31,Taip,Taip,Šnipiškių,Vilnius
15722,2012,2014-01-10,2014-05-30,Taip,Taip,Šnipiškių,Vilnius
15723,2013,2014-01-10,2014-05-26,Taip,Taip,Antakalnio,Vilnius
15724,2010,2014-01-10,2014-07-31,Taip,Taip,Šnipiškių,Vilnius
15725,2010,2012-08-07,2012-09-01,Taip,Taip,Naujininkų,Vilnius
15726,2009,2012-08-07,2012-09-01,Taip,Taip,Naujininkų,Vilnius
15727,2011,2011-10-24,2013-07-16,Taip,Taip,Naujosios Vilnios,Vilnius
15728,2012,2014-01-24,2014-05-30,Taip,Taip,Žirmūnų,Vilnius
15729,2012,2014-01-10,2014-05-29,Taip,Taip,Naujininkų,Vilnius
15730,2012,2014-09-01,2014-09-01,Taip,Taip,Antakalnio,Vilnius
